kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 155 : 1024 10592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 1024 7648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 1024 12160 0 0 0 0 0 0 0 
a.1.sm_52.ptx 150 : 256000 1780352 0 0 0 0 0 0 0 
a.1.sm_52.ptx 149 : 256000 2287232 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 1024 8864 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 1024 9440 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 1024 11840 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 1024 7264 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 1024 6272 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 1024 6336 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 1024 7392 0 0 0 0 0 0 0 
a.1.sm_52.ptx 45 : 1024 7328 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 1024 7360 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 1024 11648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 1024 7808 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 1024 8960 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 1024 7168 0 0 0 0 0 0 0 
a.1.sm_52.ptx 156 : 1024 10528 0 0 0 0 0 0 0 
a.1.sm_52.ptx 29 : 1024 284672 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 256000 2805600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 1024 6656 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 1024 6528 0 0 0 80 32 0 0 
a.1.sm_52.ptx 30 : 1024 284672 0 0 0 0 0 0 0 
a.1.sm_52.ptx 148 : 256000 2790912 0 0 0 0 0 0 0 
a.1.sm_52.ptx 31 : 1024 284672 0 0 0 0 0 0 0 
a.1.sm_52.ptx 32 : 1024 282496 0 0 0 0 0 0 0 
a.1.sm_52.ptx 160 : 1024 6240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 33 : 1024 144512 0 0 0 0 0 0 0 
a.1.sm_52.ptx 34 : 1024 19456 0 0 0 0 0 0 0 
a.1.sm_52.ptx 35 : 1024 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 36 : 1024 6272 0 0 0 0 0 0 0 
a.1.sm_52.ptx 37 : 1024 6400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 1024 6656 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 1024 12224 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 1024 7232 0 0 0 0 0 0 0 
a.1.sm_52.ptx 70 : 1024 7200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 256000 2604544 0 0 0 0 0 0 0 
a.1.sm_52.ptx 41 : 1024 7104 0 0 0 0 0 0 0 
a.1.sm_52.ptx 71 : 1024 6304 0 0 0 0 0 0 0 
a.1.sm_52.ptx 130 : 256000 79036128 0 0 0 8000 8000 0 0 
a.1.sm_52.ptx 120 : 1024 7360 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 1024 12448 0 0 0 0 0 0 0 
a.1.sm_52.ptx 122 : 1024 10496 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 1024 10848 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 1024 12480 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 1024 9472 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 256000 2646368 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 256000 28184160 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 132 : 256000 2909696 0 0 0 0 0 0 0 
a.1.sm_52.ptx 133 : 256000 1880160 0 0 0 0 0 0 0 
a.1.sm_52.ptx 134 : 256000 2640128 0 0 0 0 0 0 0 
a.1.sm_52.ptx 135 : 256000 81034784 0 0 0 12000 8000 0 0 
a.1.sm_52.ptx 136 : 256000 11569280 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 137 : 256000 2914240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 138 : 256000 2657024 0 0 0 0 0 0 0 
a.1.sm_52.ptx 139 : 256000 78777408 0 0 0 8000 8000 0 0 
a.1.sm_52.ptx 140 : 256000 11240320 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 141 : 256000 2900192 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 256000 2632768 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 256000 80191392 0 0 0 12000 8000 0 0 
a.1.sm_52.ptx 144 : 256000 11576736 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 145 : 256000 2973792 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 256000 2738528 0 0 0 0 0 0 0 
