kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 155 : 1024 9216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 1024 6176 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 1024 10368 0 0 0 0 0 0 0 
a.1.sm_52.ptx 150 : 256000 1309216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 149 : 256000 1603552 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 1024 5408 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 1024 9216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 1024 7008 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 1024 6016 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 1024 6272 0 0 0 0 0 0 0 
a.1.sm_52.ptx 45 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 1024 10560 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 1024 5728 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 156 : 1024 9248 0 0 0 0 0 0 0 
a.1.sm_52.ptx 29 : 1024 282624 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 256000 2363968 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 1024 5120 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 1024 13152 0 0 0 128 32 0 0 
a.1.sm_52.ptx 30 : 1024 282624 0 0 0 0 0 0 0 
a.1.sm_52.ptx 148 : 256000 2320992 0 0 0 0 0 0 0 
a.1.sm_52.ptx 31 : 1024 282656 0 0 0 0 0 0 0 
a.1.sm_52.ptx 32 : 1024 282976 0 0 0 0 0 0 0 
a.1.sm_52.ptx 160 : 1024 5120 0 0 0 0 0 0 0 
a.1.sm_52.ptx 33 : 1024 283648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 34 : 1024 283648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 35 : 1024 6400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 36 : 1024 5888 0 0 0 0 0 0 0 
a.1.sm_52.ptx 37 : 1024 5760 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 1024 5632 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 1024 10880 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 1024 5952 0 0 0 0 0 0 0 
a.1.sm_52.ptx 70 : 1024 6528 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 256000 2304448 0 0 0 0 0 0 0 
a.1.sm_52.ptx 41 : 1024 5856 0 0 0 0 0 0 0 
a.1.sm_52.ptx 71 : 1024 6016 0 0 0 0 0 0 0 
a.1.sm_52.ptx 130 : 256000 73632448 32000 0 0 16000 8000 0 0 
a.1.sm_52.ptx 120 : 1024 6560 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 1024 11104 0 0 0 0 0 0 0 
a.1.sm_52.ptx 122 : 1024 9216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 1024 9216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 1024 10272 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 1024 6272 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 256000 2310880 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 256000 52676768 128000 0 0 16000 8000 0 0 
a.1.sm_52.ptx 132 : 256000 2570624 0 0 0 0 0 0 0 
a.1.sm_52.ptx 133 : 256000 1572768 0 0 0 0 0 0 0 
a.1.sm_52.ptx 134 : 256000 2311104 0 0 0 0 0 0 0 
a.1.sm_52.ptx 135 : 256000 70767232 32000 0 0 16000 8000 0 0 
a.1.sm_52.ptx 136 : 256000 38537696 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 137 : 256000 2562624 0 0 0 0 0 0 0 
a.1.sm_52.ptx 138 : 256000 2305664 0 0 0 0 0 0 0 
a.1.sm_52.ptx 139 : 256000 72704544 32000 0 0 16000 8000 0 0 
a.1.sm_52.ptx 140 : 256000 38931488 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 141 : 256000 2562240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 256000 2304736 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 256000 70675008 32000 0 0 16000 8000 0 0 
a.1.sm_52.ptx 144 : 256000 39081536 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 145 : 256000 2579136 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 256000 2312640 0 0 0 0 0 0 0 
